ds,y,kc_centavos_lb,trm
1993-02-26,182020.04106,57.0,759.2
1993-03-01,179650.57059949997,56.0,758.03
1993-03-02,181705.96538324998,57.0,757.89
1993-03-03,183430.24002187498,57.5,760.71
1993-03-04,184956.15397599997,58.0,762.68
1993-03-05,182700.93794699997,57.0,762.04
1993-03-08,181689.0724825,56.5,762.2
1993-03-09,183022.20619649996,57.0,763.38
1993-03-10,181041.74093499998,56.0,763.9
1993-03-11,181240.818121,56.0,764.74
1993-03-12,181347.4666135,56.0,765.19
1993-03-15,184414.05169687496,57.5,764.79
1993-03-16,180081.06399112497,55.5,764.29
1993-03-17,180262.49043824998,55.5,765.06
1993-03-18,180512.24632649997,55.5,766.12
1993-03-19,180582.93195524998,55.5,766.42
1993-03-22,180681.8918355,55.5,766.84
1993-03-23,180681.8918355,55.5,766.84
1993-03-24,182745.071683625,56.5,766.63
1993-03-25,181755.10085149997,56.0,766.91
1993-03-26,177778.24194899996,54.0,767.99
1993-03-29,173412.10226999997,52.0,767.4
1993-03-30,173274.25840449997,52.0,766.79
1993-03-31,177412.49549099995,54.0,766.41
1993-04-01,177419.440044,54.0,766.44
1993-04-02,175659.54701349998,53.0,767.98
1993-04-05,172592.78280474996,51.5,768.46
1993-04-06,172559.09345537494,51.5,768.31
1993-04-07,169429.45624,50.0,768.52
1993-04-08,168388.04886749998,49.5,768.6
1993-04-12,168388.04886749998,49.5,768.6
1993-04-13,168550.17111075,49.5,769.34
1993-04-14,168650.94980249996,49.5,769.8
1993-04-15,169036.53784049998,49.5,771.56
1993-04-16,167159.06966962502,48.5,772.71
1993-04-19,165138.57677624997,47.5,773.22
1993-04-20,166307.163165,48.0,773.7
1993-04-21,164232.31260975,47.0,773.97
1993-04-22,164310.8246395,47.0,774.34
1993-04-23,166597.34627249997,48.0,775.05
1993-04-26,173065.205313,51.0,775.32
1993-04-27,179447.24951999998,54.0,775.2
1993-04-28,177155.43679899996,53.0,774.52
1993-04-29,180184.72246774996,54.5,773.78
1993-04-30,182590.40381175,55.5,774.94
1993-05-03,182326.51079775,55.5,773.82
1993-05-04,172043.487952875,50.5,775.53
1993-05-05,171296.76937999998,50.0,776.99
1993-05-06,173636.642817,51.0,777.88
1993-05-07,174773.60668762494,51.5,778.17
1993-05-10,173478.15819675,51.0,777.17
1993-05-11,173607.62450625002,51.0,777.75
1993-05-12,171830.28741999998,50.0,779.41
1993-05-13,170992.95896512497,49.5,780.49
1993-05-14,172674.65687999997,50.25,780.8
1993-05-17,173210.365761125,50.5,780.79
1993-05-18,180887.08684199996,54.0,781.42
1993-05-19,182052.28362749997,54.5,781.8
1993-05-20,182061.59814699998,54.5,781.84
1993-05-21,185317.160501,56.0,781.94
1993-05-24,181021.34819999998,54.0,782.0
1993-05-25,183176.36424999996,55.0,782.0
1993-05-26,186683.01904312498,56.5,783.15
1993-05-27,182296.789764375,54.5,782.85
1993-05-28,182890.59038249997,55.0,780.78
1993-06-01,178180.14417499996,53.0,779.0
1993-06-02,178182.43146824997,53.0,779.01
1993-06-03,177910.24357149997,53.0,777.82
1993-06-04,173690.21508300002,51.0,778.12
1993-06-07,173168.2161825,50.5,780.6
1993-06-08,173543.125592375,50.5,782.29
1993-06-09,174060.01253025,50.5,784.62
1993-06-10,174133.21969312502,50.5,784.95
1993-06-11,169988.644324125,48.5,785.79
1993-06-14,173018.5776,50.0,784.8
1993-06-15,177884.72509499997,52.25,784.8
1993-06-16,173261.0858,50.0,785.9
1993-06-17,178843.73479499997,52.5,786.64
1993-06-18,179036.98351687499,52.5,787.49
1993-06-21,176163.0891109375,51.25,786.77
1993-06-22,178331.2502076875,52.25,786.77
1993-06-23,180023.70253449996,53.0,787.06
1993-06-24,177710.11919099995,52.0,786.42
1993-06-25,175609.88794800002,51.0,786.72
1993-06-28,176747.80256099996,51.5,786.96
1993-06-29,174543.623485,50.5,786.8
1993-06-30,175699.17505800002,51.0,787.12
1993-07-01,177637.80765499998,52.0,786.1
1993-07-02,182296.83110099996,54.0,787.51
1993-07-06,199947.459745,62.0,788.65
1993-07-07,195804.1520325,60.0,789.47
1993-07-08,196079.453955,60.0,790.58
1993-07-09,196364.6766675,60.0,791.73
1993-07-12,195631.39249774997,59.5,793.18
1993-07-13,204758.615749875,63.5,794.67
1993-07-14,199532.05422149997,61.0,795.66
1993-07-15,202064.4461,62.0,797.0
1993-07-16,199883.13995649997,61.0,797.06
1993-07-19,203241.64428562496,62.5,797.31
1993-07-20,202168.393933,62.0,797.41
1993-07-21,201069.652661625,61.5,797.41
1993-07-22,203323.21522562497,62.5,797.63
1993-07-23,202361.077721,62.0,798.17
1993-07-26,200327.01263575,61.0,798.83
1993-07-27,203165.19219768746,62.25,799.17
1993-07-28,204468.28107474998,62.75,799.96
1993-07-29,206240.18928425,63.5,800.42
1993-07-30,211918.65657599998,66.0,801.04
1993-08-02,213104.83858812499,66.5,801.35
1993-08-03,216363.33584249995,68.0,801.15
1993-08-04,213240.46405475,66.5,801.86
1993-08-05,213229.82676325,66.5,801.82
1993-08-06,206611.22683025,63.5,801.86
1993-08-09,208800.1389127499,64.5,801.78
1993-08-10,205619.12027249995,63.0,802.3
1993-08-11,194787.436404,58.0,803.22
1993-08-12,195092.996736,58.0,804.48
1993-08-13,195202.12542599998,58.0,804.93
1993-08-16,199534.36907249998,60.0,804.51
1993-08-17,198425.844799875,59.5,804.51
1993-08-18,201814.111499,61.0,804.76
1993-08-19,202029.7784505,61.0,805.62
1993-08-20,202162.68947875,61.0,806.15
1993-08-23,206751.90914399998,63.0,806.72
1993-08-24,206833.92100799995,63.0,807.04
1993-08-25,209195.23437449997,64.0,807.57
1993-08-26,207021.01057274998,63.0,807.77
1993-08-27,209190.05351749994,64.0,807.55
1993-08-30,210297.55815337494,64.5,807.53
1993-08-31,206787.78933449998,63.0,806.86
1993-09-01,209003.54266549996,64.0,806.83
1993-09-02,207090.20808299995,63.0,808.04
1993-09-03,203729.8711635,61.5,807.96
1993-09-07,208095.37701425,63.5,807.62
1993-09-08,209368.79308399995,64.0,808.24
1993-09-09,216342.14393274998,67.0,809.33
1993-09-10,216588.06929374996,67.0,810.25
1993-09-13,228806.69338312498,72.5,810.03
1993-09-14,228823.641399375,72.5,810.09
1993-09-15,227909.81263049998,72.0,810.81
1993-09-16,227055.53615937495,71.5,811.75
1993-09-17,229902.7546633125,72.75,811.93
1993-09-20,226896.10079674993,71.5,811.18
1993-09-21,217873.77612,67.5,810.88
1993-09-22,220917.39181874998,69.0,809.75
1993-09-23,220996.51011899996,69.0,810.04
1993-09-24,219460.3791290625,68.25,810.55
1993-09-27,216502.53003774997,67.0,809.93
1993-09-28,216400.95217124996,67.0,809.55
1993-09-29,211975.72867624997,65.0,809.69
1993-09-30,212276.797095,65.0,810.84
1993-10-01,210164.05463349994,64.0,811.31
1993-10-04,210417.91662649994,64.0,812.29
1993-10-05,208174.30241024995,63.0,812.27
1993-10-06,208297.32020624998,63.0,812.75
1993-10-07,208243.49992049995,63.0,812.54
1993-10-08,212556.92162374995,65.0,811.91
1993-10-11,214627.69363199998,66.0,811.28
1993-10-12,209015.240930375,63.5,811.19
1993-10-13,209087.387119875,63.5,811.47
1993-10-14,212439.11224249998,65.0,811.46
1993-10-15,212687.82093624995,65.0,812.41
1993-10-18,219639.23581599994,68.0,813.28
1993-10-19,216277.41077799996,66.5,813.28
1993-10-20,215291.72517599998,66.0,813.79
1993-10-21,219359.621105625,67.5,816.41
1993-10-22,220125.38208375,67.5,819.26
1993-10-25,213391.35651487493,64.5,819.41
1993-10-26,214528.26526999997,65.0,819.44
1993-10-27,217944.80622062497,66.5,819.55
1993-10-28,221178.61173099995,68.0,818.98
1993-10-29,223184.54035349996,69.0,818.06
1993-11-01,219526.207704375,67.5,817.03
1993-11-02,220651.98312849994,68.0,817.03
1993-11-03,220562.86136499996,68.0,816.7
1993-11-04,213892.09461124995,65.0,817.01
1993-11-05,217210.83310712496,66.5,816.79
1993-11-08,213549.13841249997,65.0,815.7
1993-11-09,213172.14839249998,65.0,814.26
1993-11-10,213090.99081874997,65.0,813.95
1993-11-11,209543.10274218748,63.75,811.07
1993-11-12,204769.43905618746,61.75,809.87
1993-11-15,207021.7064059375,62.75,809.95
1993-11-16,209811.75635749995,64.0,809.95
1993-11-17,211166.55046299993,64.0,815.18
1993-11-18,211461.85931199996,64.0,816.32
1993-11-19,212102.17741212502,64.25,816.62
1993-11-22,209964.82587987496,63.25,817.06
1993-11-23,212107.48227899993,64.5,814.48
1993-11-24,211492.88933849992,64.5,812.12
1993-11-26,211472.05567949993,64.5,812.04
1993-11-29,211490.28513112493,64.5,812.11
1993-11-30,209154.380010125,63.5,811.73
1993-12-01,211516.32720487495,64.5,812.21
1993-12-02,206259.05531989998,62.2,811.78
1993-12-03,208613.283588875,63.5,809.63
1993-12-06,207804.21560662502,63.5,806.49
1993-12-07,208037.31283499996,64.0,803.1
1993-12-08,207389.70570999995,64.0,800.6
1993-12-09,207389.70570999995,64.0,800.6
1993-12-10,202447.27836300002,62.0,798.51
1993-12-13,201099.91107112498,61.5,797.53
1993-12-14,204568.34326499997,63.0,798.2
1993-12-15,204547.84029899997,63.0,798.12
1993-12-16,204883.57636724995,63.0,799.43
1993-12-17,208500.99953649993,64.0,804.89
1993-12-20,204472.99345,62.0,806.5
1993-12-21,203790.994253,62.0,803.81
1993-12-22,204554.42660125,62.5,802.46
1993-12-23,205388.46190499997,63.0,801.4
1993-12-27,207672.06241649995,64.0,801.69
1993-12-28,210714.23133337492,64.5,809.13
1993-12-29,208943.37031837495,64.5,802.33
1993-12-30,202406.06574787502,61.5,802.71
1993-12-31,202814.554276125,61.5,804.33
1994-01-03,202814.554276125,61.5,804.33
1994-01-04,203212.956667875,61.5,805.91
1994-01-05,204246.785659125,61.5,810.01
1994-01-06,206427.71977300002,62.0,814.21
1994-01-07,208727.29000062498,62.5,818.83
1994-01-10,208742.58455187498,62.5,818.89
1994-01-11,206485.907962125,61.5,818.89
1994-01-12,208643.16996874998,62.5,818.5
1994-01-13,210106.70695574995,63.0,819.81
1994-01-14,211311.03574625,63.5,820.1
1994-01-17,210205.653057125,63.5,815.81
1994-01-18,211614.69459349994,64.0,816.91
1994-01-19,208044.13337812497,62.5,816.15
1994-01-20,212128.31593799993,64.5,814.56
1994-01-21,212479.88393362492,64.5,815.91
1994-01-24,212412.17454187493,64.5,815.65
1994-01-25,212683.01210887494,64.5,816.69
1994-01-26,213874.939911875,64.75,819.1
1994-01-27,212808.88213199994,64.0,821.52
1994-01-28,213992.92841849994,64.5,821.72
1994-01-31,208612.58086624998,62.5,818.38
1994-02-01,208260.80618749998,62.5,817.0
1994-02-02,209968.31193524995,63.0,819.27
1994-02-03,216394.917024,66.0,817.96
1994-02-04,217450.172165875,66.5,817.69
1994-02-07,217532.61117499997,66.5,818.0
1994-02-08,217436.87555149998,66.5,817.64
1994-02-09,218608.93421674994,67.0,817.81
1994-02-10,218627.64592899996,67.0,817.88
1994-02-11,218627.64592899996,67.0,817.88
1994-02-14,218600.91491149995,67.0,817.78
1994-02-15,221929.76710162498,68.5,817.59
1994-02-16,220622.27587399993,68.0,816.92
1994-02-17,222649.80977249998,69.0,816.1
1994-02-18,223524.78211387497,69.5,815.19
1994-02-22,223757.85178449994,69.5,816.04
1994-02-23,224385.76889712497,69.5,818.33
1994-02-24,223921.15901099995,69.0,820.76
1994-02-25,225885.36519999997,70.0,819.68
1994-02-28,223631.96798249998,69.0,819.7
1994-03-01,223746.55310699996,69.0,820.12
1994-03-02,223667.43480674998,69.0,819.83
1994-03-03,225866.074775,70.0,819.61
1994-03-04,226743.37574624995,70.5,818.7
1994-03-07,228764.57136224996,71.5,817.86
1994-03-08,227609.818964,71.0,817.76
1994-03-09,228809.32514824995,71.5,818.02
1994-03-10,231162.46764187497,72.5,818.37
1994-03-11,228932.39805974998,71.5,818.46
1994-03-14,234616.98317199998,74.0,818.62
1994-03-15,234637.045214,74.0,818.69
1994-03-16,235707.51223387494,74.5,818.49
1994-03-17,236269.07028449993,74.5,820.44
1994-03-18,236404.4201736249,74.5,820.91
1994-03-21,236528.25092324993,74.5,821.34
1994-03-22,238791.67916174995,75.5,821.34
1994-03-23,240037.31701950004,76.0,821.73
1994-03-24,241195.98261824998,76.5,821.82
1994-03-25,241160.76381375,76.5,821.7
1994-03-28,239864.97085100002,76.0,821.14
1994-03-29,239715.99365450002,76.0,820.63
1994-03-30,239759.81047700002,76.0,820.78
1994-03-31,241647.21321674995,77.0,819.51
1994-04-04,239388.82804650004,76.0,819.51
1994-04-05,239593.30655150005,76.0,820.21
1994-04-06,245459.37322637497,78.5,820.93
1994-04-07,248216.55367162498,79.5,822.57
1994-04-08,249034.31612399995,79.5,825.28
1994-04-11,251274.87143000003,80.0,828.92
1994-04-12,251396.12553000005,80.0,829.32
1994-04-13,248957.51267475,79.0,828.81
1994-04-14,249843.02585549996,79.5,827.96
1994-04-15,242845.396629,76.5,827.44
1994-04-18,244130.00114524996,77.0,827.93
1994-04-19,243441.18140512498,76.5,829.47
1994-04-20,247396.724388,78.0,831.24
1994-04-21,248307.45290999996,78.0,834.3
1994-04-22,251793.09491875002,79.0,838.25
1994-04-25,251405.60539600003,79.0,836.96
1994-04-26,250937.013415,79.0,835.4
1994-04-28,258732.43950399998,82.0,838.28
1994-04-29,260728.03397024996,83.0,837.27
1994-05-02,261753.45784774996,83.5,836.86
1994-05-03,272515.0623579999,88.0,838.04
1994-05-04,275185.2429865,89.0,839.14
1994-05-05,287383.2401,94.0,841.0
1994-05-06,296741.852,98.0,841.25
1994-05-09,308498.26372750005,103.0,841.7
1994-05-10,309499.83637237496,103.5,841.27
1994-05-11,303725.61967825,101.0,841.33
