ds,y
2025-08-29,386.1
2025-09-02,370.35
2025-09-03,373.65
2025-09-04,374.4
2025-09-05,373.65
2025-09-08,384.85
2025-09-09,381.8
2025-09-10,386.9
2025-09-11,386.1
2025-09-12,410.65
2025-09-15,432.35
2025-09-16,422.25
2025-09-17,388.55
2025-09-18,385.85
2025-09-19,366.5
2025-09-22,367.35
2025-09-23,350.15
2025-09-24,367.75
2025-09-25,371.35
2025-09-26,378.05
2025-09-29,372.2
2025-09-30,374.85
2025-10-01,383.9
2025-10-02,378.1
2025-10-03,390.75
2025-10-06,381.35
2025-10-07,375.4
2025-10-08,385.1
2025-10-09,377.25
2025-10-10,373.05
2025-10-13,385.2
2025-10-14,399.65
2025-10-15,394.9
2025-10-16,393.8
2025-10-17,397.45
2025-10-20,406.05
2025-10-21,413.55
2025-10-22,420.85
2025-10-23,410.15
2025-10-24,403.0
2025-10-27,390.1
2025-10-28,387.9
2025-10-29,390.7
2025-10-30,392.0
2025-10-31,392.05
2025-11-03,406.65
2025-11-04,405.25
2025-11-05,413.6
2025-11-06,396.75
2025-11-07,407.8
2025-11-10,414.75
2025-11-11,422.7
2025-11-12,403.65
2025-11-13,401.7
2025-11-14,399.8
2025-11-17,376.6
2025-11-18,387.7
2025-11-19,374.85
2025-11-20,376.65
2025-11-21,369.45
2025-11-24,376.55
2025-11-25,383.3
2025-11-26,379.7
2025-11-28,381.2
2025-12-01,379.7
2025-12-02,373.45
2025-12-03,372.45
2025-12-04,380.5
2025-12-05,374.85
2025-12-08,366.2
2025-12-09,368.75
2025-12-10,372.3
2025-12-11,376.2
2025-12-12,369.3
2025-12-15,387.7
2025-12-16,379.3
2025-12-17,351.9
2025-12-18,345.45
2025-12-19,340.65
2025-12-22,347.35
2025-12-23,346.95
2025-12-24,345.15
2025-12-26,350.25
2025-12-29,352.15
2025-12-30,350.2
2025-12-31,348.75
2026-01-02,357.3
2026-01-05,359.35
2026-01-06,373.85
2026-01-07,375.45
2026-01-08,372.35
2026-01-09,357.65
2026-01-12,356.05
2026-01-13,360.25
2026-01-14,356.0
2026-01-15,358.1
2026-01-16,355.3
2026-01-20,346.5
2026-01-21,347.5
2026-01-22,347.7
2026-01-23,350.9
2026-01-26,356.25
2026-01-27,367.25
2026-01-28,351.0
2026-01-29,345.5
2026-01-30,332.25
2026-02-02,333.25
2026-02-03,317.1
2026-02-04,308.65
2026-02-05,308.4
2026-02-06,296.55
2026-02-09,293.85
2026-02-10,290.7
2026-02-11,292.85
2026-02-12,297.45
2026-02-13,298.3
2026-02-17,283.1
2026-02-18,285.15
2026-02-19,285.4
2026-02-20,285.7
2026-02-23,278.05
2026-02-24,285.5
2026-02-25,284.85
2026-02-26,282.3
2026-02-27,280.75
2026-03-02,284.6
2026-03-03,283.15
2026-03-04,286.25
2026-03-05,288.8
2026-03-06,293.3
2026-03-09,296.9
2026-03-10,295.8
2026-03-11,287.4
2026-03-12,291.9
2026-03-13,285.15
2026-03-16,297.75
2026-03-17,302.05
2026-03-18,299.7
2026-03-19,306.2
2026-03-20,309.75
2026-03-23,307.0
2026-03-24,317.85
2026-03-25,316.1
2026-03-26,307.65
2026-03-27,301.7
2026-03-30,292.55
2026-03-31,298.35
2026-04-01,297.8
2026-04-02,295.4
2026-04-06,298.05
2026-04-07,286.1
2026-04-08,294.05
2026-04-09,293.7
2026-04-10,300.1
2026-04-13,296.25
2026-04-14,297.6
2026-04-15,298.25
2026-04-16,290.4
2026-04-17,284.25
